Unnamed: 0,sentence,news_link,outlet,topic,type,group_id,num_sent,Label_bias,Label_opinion,article,biased_words4
5,The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).,https://www.reuters.com/article/us-doping-wada-russia/doping-wada-bitterly-disappointed-at-russias-failure-to-meet-deadline-idUSKCN1OV1Q5,reuters,sport,center,1,1,Non-biased,Entirely factual,"(Reuters) - The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).
FILE PHOTO: Craig Reedie, President of the World Anti-Doping Agency, speaks during an interview following a meeting of WADA foundation board in Baku, Azerbaijan November 15, 2018. REUTERS/Aziz Karimov
RUSADA was stripped of its accreditation in 2015 after a WADA-commissioned report found evidence of widespread state-sponsored doping in Russian athletics. But it was conditionally - and controversially - reinstated in September.
“I am bitterly disappointed that data extraction from the former Moscow Laboratory has not been completed by the date agreed by WADA’s (executive committee) in September 2018,” said WADA President Craig Reedie.
“Since then, WADA has been working diligently with the Russian authorities to meet the deadline, which was clearly in the best interest of clean sport. The process agreed by WADA’s ExCo in September will now be initiated.”
WADA’s Compliance Review Committee (CRC) will meet Jan. 14-15 to review the situation and make a recommendation to WADA’s executive committee on how to proceed.
If the CRC recommends declaring RUSADA non-compliant and the executive committee agrees, the Russian agency will have the right to challenge in the Court of Arbitration for Sport, who will hear the case and make the final decision.
Reedie said WADA had written to Pavel Kolobkov, Russia’s minister of sport, and Yury Ganus, the director general of RUSADA, to notify them of the situation and to remind them of the next steps in the process.
Kolobkov on Saturday said Moscow and WADA were discussing a date for WADA experts to visit and receive laboratory data in the hopes of avoiding another suspension.
Last month WADA said an inspection team visiting the Moscow laboratory was denied access to raw data after Russian authorities said that the inspection team’s equipment was not certified under Russian law.
IOC President Thomas Bach on Tuesday suggested the IOC was ready to move on following Russia’s ban from the Pyeongchang Winter Olympics in February.
“In Pyeongchang, we sanctioned the systematic manipulation of the anti-doping system in Russia during the Olympic Winter Games Sochi 2014,” he said in a New Year’s message.
“With its suspension from the Olympic Winter Games Pyeongchang 2018, the Russian Olympic Committee has served its sanction.”
CRITICS RALLY
But critics of Russia urged WADA to take a hard line against the nation for missing the deadline.
“The situation is a total joke and an embarrassment for WADA and the global anti-doping system,” Travis Tygart, the CEO of the U.S. Anti-Doping Agency, said on Tuesday.
“In September, WADA secretly moved the goal posts and reinstated Russia against the wishes of athletes, governments and the public.
“In doing this, WADA guaranteed Russia would turn over the evidence of its state-supported doping scheme by today.
“No-one is surprised this deadline was ignored, and it’s time for WADA to stop being played by the Russians and immediately declare them non-compliant for failing yet again to meet the deadline.”
The United Kingdom Anti-Doping Agency athlete commission and Drug Free Sport New Zealand were among the groups that called on WADA to find RUSADA non-compliant for missing the deadline.
“Time for negotiation and compromise with Russia is now past,” said Nick Paterson, chief executive for Drug Free Sport NZ. “Clean sport and clean athletes deserve our support.
“It is time to stand strong, and all those involved in the fight against doping to stand together.”",[]
23,"The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.",https://www.reuters.com/article/us-volkswagen-emissions-baden-wuerttembe/german-state-of-baden-wuerttemberg-sues-vw-for-damages-faz-idUSKCN1OZ0C8,reuters,environment,center,2,1,Non-biased,Entirely factual,"FILE PHOTO: A Volkswagen logo is pictured during the Volkswagen Group's annual general meeting in Berlin, Germany, May 3, 2018. REUTERS/Axel Schmidt
FRANKFURT (Reuters) - The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen (VOWG_p.DE) after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.
The value of diesel cars plummeted after German environmental groups scored a court victory last year that forced cities to consider bans of older diesel vehicles to bring emissions into line with European Union clean air rules.
The FAZ daily said state authorities filed a lawsuit with a court in Stuttgart at the end of last year, seeking damages totaling “low double digit millions”.
Volkswagen could not confirm this, and told Reuters the company had not seen the particular lawsuit.
But it added that previous court decisions had backed its stance that legal actions to seek damages are without merit given that VW cars had valid road certification at the time of sale.
Officials at Baden-Wuerttemberg state could not be immediately reached for comment.
The paper said taxpayer money had been spent on buying and leasing diesel vehicles for the police service. It did not specify how Baden-Wuerttemberg had lost money.
U.S. regulators in 2015 blew the whistle on Volkswagen’s systematic emissions test cheating which revealed that the carmaker’s vehicles emitted far higher levels of nitrogen oxide pollution than permitted by the law.
A global clampdown on pollution ensued, prompting regulators and environmental groups in Germany to scrutinize emissions. Unlike in the United States, older VW cars have not been found to be illegal in Germany after the carmaker agreed recall its vehicles to modify emissions filtering systems.",[]
27,"Mississippi’s Republican governor signed one of America’s strictest abortion bills on Thursday banning women from obtaining an abortion once a fetal heartbeat is detected, which can often occur before a woman even realizes she is pregnant.",https://www.reuters.com/article/us-mississippi-abortion/mississippi-governor-to-sign-heartbeat-abortion-ban-idUSKCN1R21HA,reuters,abortion,center,2,1,No agreement,Entirely factual,"(Reuters) - Mississippi’s Republican governor signed one of America’s strictest abortion bills on Thursday banning women from obtaining an abortion once a fetal heartbeat is detected, which can often occur before a woman even realizes she is pregnant.
FILE PHOTO: Phil Bryant, governor of Mississippi, speaks during an election night party for Republican U.S. Senator Cindy Hyde-Smith in Jackson, Mississippi, U.S., November 27, 2018. REUTERS/Jonathan Bachman
Dubbed the ‘heartbeat bill,’ this is the second legislative attempt in less than a year aimed at restricting abortions in a state with a single abortion clinic.
In a tweet earlier this week, Governor Phil Bryant thanked the state’s legislature for “protecting the unborn” by passing the bill and sending it to him for his signature.
The Mississippi law joins a wave of similar Republican-backed measures recently introduced in Iowa, Kentucky, Tennessee and Georgia.
Conservative Republican proponents say these bills are intended to challenge Roe v. Wade, the U.S. Supreme Court’s 1973 landmark ruling that women have a constitutional right to an abortion.
U.S. states are jostling for a showdown on abortion rights in 2019, with all eyes on the conservative-dominated Supreme Court.
Just last November, a U.S. federal judge struck down a Mississippi law banning most abortions after 15 weeks, ruling that it “unequivocally” violates women’s constitutional rights.
The new Mississippi bill prohibits the abortion of a fetus with a detectable heartbeat, before the point where a woman may be aware she are pregnant.
It also states that any physician who violates the restriction is subject to losing the license to practice medicine.
The law makes exceptions for women whose health is at extreme risk. It is a victory for anti-abortion groups, but abortion rights advocates have promised to pursue legal action to overturn it.
“This ban is one of the most restrictive abortion bans signed into law, and we will take Mississippi to court to make sure it never takes effect,” Hillary Schneller, staff attorney at the global abortion rights advocacy group Center for Reproductive Rights, said in a statement.
“This ban — just like the 15 week ban the Governor signed a year ago — is cruel and clearly unconstitutional.”
A fetus that is viable outside the womb, usually at 24 weeks, has widely been considered the threshold in the United States to prohibit an abortion.
Last week, a federal judge blocked Kentucky’s fetal heartbeat abortion law. An Iowa judge overturned that state’s heartbeat law in January after declaring it violated the state’s constitution.","['strictest', 'abortion']"
30,"Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.",https://www.reuters.com/article/us-usa-election-biden/biden-vows-to-heal-racial-wounds-rips-trump-as-divisive-is-this-who-we-want-to-be-idUSKBN2391ZB,reuters,elections-2020,center,2,1,Biased,Entirely factual,"PHILADELPHIA (Reuters) - Democratic presidential candidate Joe Biden on Tuesday blasted President Donald Trump’s response to U.S. protests over racism and police misconduct, vowing to try to heal the country’s racial divide and not “fan the flames of hate.”
Speaking in Philadelphia – a city rocked by sometimes violent demonstrations in recent days – the former vice president sought to draw a vivid contrast between himself and Trump, whom he will face in the Nov. 3 general election.
Biden, who served eight years as vice president under Barack Obama, the first black U.S. president, cast himself as the candidate who best understands the longstanding pain and grief in the country’s black communities.
He said the killing of George Floyd, the African-American man who died at the hands of Minneapolis police last week, was a “wake-up call” for the nation that must force it to address the stain of systemic racism.
“We can’t leave this moment thinking we can once again turn away and do nothing,” Biden said. “We can’t.”
He accused Trump, a Republican, of turning the nation into “a battlefield riven by old resentments and fresh fears.”
“Is this who we want to be?” he asked. “Is this what we want to pass on to our children and grandchildren? Fear, anger, finger pointing, rather than the pursuit of happiness? Incompetence and anxiety, self-absorption, selfishness?”
Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.
“We can be forgiven for believing that the president is more interested in power than in principle,” said Biden, who accused Trump of “serving the passions” of his conservative base at the expense of the rest of the country.
Democratic U.S. presidential candidate Joe Biden arrives with U.S. Secret Service agents to speak at an event in Philadelphia, Pennsylvania, U.S. June 2, 2020. REUTERS/Joshua Roberts
Biden pledged he would “not traffic in fear or division.”
Biden, 77, has been under pressure from young African-Americans and other progressives to aggressively address racial and economic inequities in the country - and he has been increasingly talking in terms of sweeping societal change.
His long history in the Senate, where he authored a now-heavily criticized crime bill in the 1990s, has at times complicated that effort, sowing some mistrust among activists.
At the same time, he has been mindful of condemning the looting and violence that has marked some of the protests.
Trump campaign senior adviser Katrina Pierson accused Biden in a statement after the speech of making “the crass political calculation that unrest in America is a benefit to his candidacy.”
Trump on Monday called the violence at the protests “acts of domestic terror” and threatened to deploy the U.S. military to secure the nation’s cities.
Biden’s speech on Tuesday at Philadelphia’s City Hall marked the first time he has left his home state of Delaware since mid-March, when the outbreak of the novel coronavirus forced him to halt in-person campaigning.
While Biden had made public appearances in Delaware in recent days and convened a virtual conference of big-city mayors on Monday, Tuesday’s speech suggested he may soon begin to again move about the country as states slowly re-open.
Biden formally launched his White House bid in Philadelphia last year, and it’s where his campaign headquarters - currently empty because of the pandemic - is located.
Slideshow (8 Images)
GRAPHIC: Who is running in 2020 - here
The city was also the birthplace of the U.S. Constitution, which Biden cited in his speech as support of the right to peacefully protest.
“Our freedom to speak is the cherished knowledge that lives inside every American,” he said.",['critical']
34,"Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.",https://www.reuters.com/article/us-australia-bushfires-sport/australian-sport-rallies-behind-bushfire-relief-idUSKBN1Z20T5,reuters,sport,center,2,1,Non-biased,Entirely factual,"SYDNEY (Reuters) - Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.
FILE PHOTO: Australia's Nick Kyrgios in action against Germany's Jan-Lennard Struff on Jan 3, REUTERS/Tracey Nearmy/File Photo
Hundreds of wildfires have scorched more than 5.25 million hectares (13 million acres) of bushland and destroyed over 1,000 homes over the last few months.
Kyrgios, the country’s best known current tennis player, called on Thursday for the organization of a fundraising exhibition event ahead of the Australia Open, the year’s first Grand Slam which kicks off in Melbourne on Jan. 20.
Australian cricketers Glenn Maxwell and Chris Lynn pledged A$250 for every six they hit during the Big Bash League Twenty20 tournament.
There have also been pledges of help from A-League soccer clubs in the state of Victoria and American basketballer LaMelo Ball - a top-five NBA draft prospect - who has offered to donate one month’s salary from the Illawarra Hawks.
Tennis Australia said on Friday it would hold a “Rally for Relief” exhibition match at the Rod Laver Arena on Jan. 15 to help raise funds, while proceeds from a Jessica Mauboy concert on the eve of the Open will also be donated to the Red Cross appeal.
Kyrgios said he would be at the exhibition and while no other names have been confirmed, most of the best tennis players in the world are already in Australia for the inaugural edition of the ATP Cup and other warm-up tournaments.
Kyrgios has also put his hand up individually by promising a A$200 ($140) donation for every ace he serves during Australia’s summer of tennis and has been joined by a number of fellow players in the drive, including former U.S. Open champion Samantha Stosur.
Hazardous smoke from the fires forced the abandonment of a Big Bash match in the nation’s capital on Dec. 21 and organizers, anticipating similar disruption, decided on Friday to move the Canberra International tennis tournament.
The ATP Challenger/ITF Futures tournament, scheduled to take place in Canberra next week, has been moved to the city of Bendigo.
Sporting events went ahead under sunny skies in Sydney on Friday with no sign of the thick layer of smoke that has shrouded the city on several occasions over the last few months.
The third cricket test between Australia and New Zealand at the Sydney Cricket Ground got underway in front of a big crowd under sunny skies after a minute of applause for the emergency services fighting the fires.
Organizers have prepared for smoke delays during the match with all eyes on Saturday when temperatures are set to soar above 40 degrees Celsius (104 degrees Fahrenheit).",['rallied']
35,"Under current immigration policies, it’s possible that immigration arrests could lead to poor mental health by increasing deportation fears among undocumented individuals and their families and neighbors, the study authors write.",https://www.reuters.com/article/us-health-mental-immigration-policy/immigration-raids-tied-to-worse-mental-health-among-hispanic-americans-idUSKBN1XV2L2,reuters,immigration,center,2,1,Biased,No agreement,"(Reuters Health) - Hispanic Americans may experience worsening mental health when immigration arrests spike, a U.S. study suggests.
Researchers examined data on people who identified as Hispanic or Latino in nationally-representative behavioral health surveys administered from 2014 to 2018. Overall, more than one third of these participants reported at least one day of poor mental health in the previous month, and about 11% reported frequent mental distress.
During the study period, Immigration and Customs Enforcement (ICE) made 440,601 arrests, the study team notes in the American Journal of Public Health. Arrests increased sharply after a series of anti-immigration executive orders in 2017 that authorized a border wall with Mexico, banned U.S. entry for people from several predominantly Muslim countries, and modified ICE policies around arrests and deportation.
Changes in arrest rates varied by state. But each 1-percentage point increase in a state’s immigration arrest rate following these immigration policy changes was associated with significantly worse mental health outcomes for Hispanic people in the study.
“Given that immigration policy continues to be a deeply contested topic, ensuring that the health and social consequences of aggressive enforcement are identified and acknowledged within national debates is a key priority,” study authors Emilie Bruzelius of the Mailman School of Public Health at Columbia University in New York City and Aaron Baum of the Icahn School of Medicine at Mount Sinai in New York City write.
ICE has arrested more than 2 million immigrants living without authorization in the U.S. since 2008, the researchers note. Some previous research suggests that immigration-related anxiety could have a detrimental impact on mental health, particularly among racial/ethnic groups that have been disproportionately targeted for arrest and deportation.
Under current immigration policies, it’s possible that immigration arrests could lead to poor mental health by increasing deportation fears among undocumented individuals and their families and neighbors, the study authors write. People from populations targeted by these immigration policies might also experience more discrimination, which worsens mental health.
Across the entire study period, participants reported an average of 3.62 days of poor mental health during the previous month.
When researchers looked only at the 2017 shift in immigration policies, they didn’t find these policies to be associated with changes in mental health.
But when they looked at both the 2017 policy shifts and changes in arrest rates, they found states that had bigger spikes in arrest rates also had larger increases in the number of poor mental health days. These states also had bigger increases in the proportion of people reporting any days of poor mental health or frequent mental distress.
Compared to the period before the immigration policy shifts, a 1-percentage point increase in arrest rates after a policy shift was associated with a 14% higher risk of frequent mental distress and an 11% higher risk of any indications of poor mental health.
The study can’t prove that policy changes or arrest rates might directly impact mental health. Another limitation is that researchers lacked data on whether individual participants had experienced discrimination or were aware of immigration arrests or impacted personally by the policy changes.
The researchers also couldn’t account for any connection between changes in state-level immigration arrests and the proportion of undocumented residents.
“Additional research and, more important, public health action are urgently needed to mitigate the damaging effects of intensified anti-immigration enforcement measures and restrictive immigration policies on health,” the researchers conclude.
SOURCE: bit.ly/2KIFKkA American Journal of Public Health, online October 17, 2019.","['poor', 'mental', 'health']"
39,"For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.",https://www.reuters.com/article/us-davos-meeting-globalrisks/leaders-fear-for-planet-as-they-pack-for-green-davos-idUSKBN1ZE10E?feedType=RSS&feedName=topNews,reuters,environment,center,2,1,Non-biased,Entirely factual,"LONDON (Reuters) - Climate change and environmental destruction top the risks highlighted by world decision-makers in a survey ahead of the 2020 gathering of the global elite in the Swiss ski resort of Davos.
For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.
That came as trade wars and the rise of nationalist politics around the world were also cited by the panel of more than 750 experts and decision-makers surveyed as making it harder for countries to work together on solutions.
This year’s Davos takes place against the backdrop of some of Australia’s worst ever bushfires. While the government there has avoided making a link to climate change, the fires have added to public concern about the heating of the planet.
“The visibility of the impact of extreme weather events, wild fires, flooding, has heightened awareness,” said Emily Farnworth, WEF Head of Climate Change Initiatives.
“What we are now seeing is the reality of what it means.”
This year’s Davos, which runs next week, has chosen sustainability as its main theme and comes as campaigners such as Greta Thunberg ramp up pressure on business and governments.
BlackRock Chief Executive Larry Fink on Tuesday warned company boards to step up efforts to tackle climate change, seen as a big shift by the world’s top asset manager.
Klaus Schwab, founder and Executive Chairman of the World Economic Forum (WEF), addresses a news conference ahead of the Davos annual meeting in Cologny near Geneva, Switzerland, January 14, 2020. REUTERS/Denis Balibouse
At the same time, leading economies are behind on pledges to cut carbon emissions made with the 2015 Paris Agreement and activists remain wary of empty promises, pointing to the huge subsidies and private funds still on offer for fossil fuels.
U.S. President Donald Trump is expected to attend, although some world leaders will skip this year’s Davos. British Prime Minister Boris Johnson has told his ministers to avoid an event seen by many as elitist.
CARBON NEUTRAL
In a bid to preempt criticism that its jetset guests are part of the problem, the WEF said this year’s Davos would use offsets to be fully carbon neutral, line up more electric vehicles and offer local food and non-meat protein options.
WEF founder and executive chairman Klaus Schwab also announced plans to launch a scheme using public and private funds to plant one trillion trees by the end of this decade.
Environmental concerns have been rising up the list of its perceived long-term risks, a marked change from a decade ago when the West’s biggest economies were thrown into recession by the financial crisis.
The biggest risk that year was seen as a fresh collapse in asset prices, while inequality was the top concern from 2012 to 2014. Immigration loomed large in the 2016 survey as hundreds of thousands of migrants arrived in Europe, fleeing war and poverty in the Middle East and Africa.
Aside from the environment, the 2020 survey highlights concerns about shortfalls in governance of the technology sector, struggling health sectors and doggedly high inequality.
Slideshow (2 Images)
In its methodology for the survey, the WEF said a “global risk” was defined as one that could cause major harm to several countries or industries within the next 10 years.
Two-thirds of the respondees were male, with a majority from Europe and North America and most aged between 40 and 59. For the first time, the survey included results from 200 under-30s around the world identified as future leaders in various fields.",[]
67,"Biden’s appearance was a contrast with the approach of Republican President Donald Trump, who has made no major public statement to address the growing crisis but issued tweets as he remained out of sight in the White House.",https://www.reuters.com/article/us-usa-election-biden/biden-meets-black-leaders-promises-to-earn-african-american-support-amid-protests-idUSKBN2382SI,reuters,elections-2020,center,4,1,Biased,Expresses writer’s opinion,"WILMINGTON, Del. (Reuters) - Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.
Biden, who met with more than a dozen black leaders in a church in Wilmington, also said he would soon unveil an economic plan to deal with the disproportionate toll on the black and Latino communities from the coronavirus outbreak.
“I’ve never taken you for granted,” Biden, who visited a protest site on Sunday, told the leaders after sitting quietly and taking note of their concerns. “It has to be earned, earned every single time.”
Cities across the country awoke from a smoldering weekend of violent protests over race and policing sparked by the death of a black man, George Floyd, in Minneapolis police custody last Monday.
Biden said his economic plan would include components on housing, education and access to capital in the black community.
“We’re going to make sure that the economic recovery deals with the institutional structures, the institutional racism,” said Biden, who wore a mask as he listened and pulled it down to talk.
Biden’s appearance was a contrast with the approach of Republican President Donald Trump, who has made no major public statement to address the growing crisis but issued tweets as he remained out of sight in the White House. He was due on Monday to meet his top law enforcement officer and hold a call with governors, law enforcement and national security officials.
The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.
“Young people out there are going mad” from a lack of effort to address their problems, said Bishop Thomas Wesley Weeks, pastor at New Destiny Fellowship in Wilmington. Weeks and others said the choice of a black running mate would show Biden’s commitment to one of the Democratic Party’s most loyal constituencies.
“A black female will overwhelm and excite and turn the heads of these young people and everybody out there,” Weeks said.
Biden, who has promised his No. 2 will be a woman, told the group several black women were on his list of potential running mates.
Last month, Biden apologized for telling a black radio host that he “ain’t black” if he was still weighing whether to support him or Trump in the Nov. 3 U.S. presidential election.
Slideshow (3 Images)
Biden has chafed at being stuck in his Delaware home during the coronavirus outbreak, and a Biden adviser said there was an internal divide on whether to get Biden out on the trail, with his wife Jill resisting.
“I can tell you with confidence that Joe wants to get out there, Jill doesn’t want him too. She knows her husband and it’s impossible for him not hug or handshake,” the adviser said.
Floyd’s death was the latest in a string of similar incidents involving unarmed black men in recent years that have raised an outcry over excessive police force and racism.",['contrast']
70,"Thousands of Australians took to the streets on Friday to protest against government inaction on climate change, as bushfires ravaged tens of thousands of square miles of bushland after months of destruction and at least 27 deaths.",https://www.reuters.com/article/us-australia-bushfires-protests/climate-change-protests-stretch-to-london-as-australia-bushfires-rage-idUSKBN1Z90TB,reuters,environment,center,4,1,Non-biased,Entirely factual,"SYDNEY/LONDON (Reuters) - Thousands of Australians took to the streets on Friday to protest against government inaction on climate change, as bushfires ravaged tens of thousands of square miles of bushland after months of destruction and at least 27 deaths.
Anger spread to Britain, where scores of people gathered in the Strand in central London to denounce Australian Prime Minister Scott Morrison, branded by one placard as a “fossil fool”.
The bushfire crisis has added pressure on Morrison’s conservative government to do more to combat climate change after Australia weakened its commitment to the U.N. Paris climate accord last year.
Friday’s demonstrations came as authorities urged nearly a quarter of a million people to flee their homes and prepared military backup as soaring temperatures and erratic winds fanned bushfires across the east coast.
Major roads in Sydney were blocked as protesters chanted “ScoMo has got to go”, referring to Morrison, while placard read ‘Save us from hell’.
There were similar protests in Canberra, the capital, and Melbourne, where air quality turned so noxious this month that the two cities featured among places with the most polluted air on earth.
More than 100 people chanted slogans outside the Australian High Commission in London. Banners said “Stop Killing our Planet (PLEASE)” and “Inaction against climate change, that’s just not cricket”.
Extinction Rebellion protesters joined the demonstration, blocking the road, banging drums and holding up traffic. A food trailer attached to a bike handed out free hot vegan food.
""Red Brigade"" activists gesture as they participate in a demonstration against the Australian government's inaction over climate change despite the bushfires crisis, outside the Australian Embassy in London, Britain, January 10, 2020. REUTERS/Henry Nicholls
Londoner Peter Cole, 76, held up a sign saying “Climate Change Denier Scott Morrison Fiddles while Australia Burns”.
“I’m here because the Australian government is doing absolutely nothing to combat climate change. In fact they’re largely denying it and they need to be put under a lot of pressure...”
Morrison has repeatedly rejected criticism that his government is not doing enough. On Friday, he told Sydney radio 2GB that it was disappointing that people were conflating the bushfire crisis with Australia’s emission reduction targets.
“We don’t want job-destroying, economy-destroying, economy-wrecking targets and goals, which won’t change the fact that there have been bushfires or anything like that in Australia,” he said.
The CEO of German engineering giant Siemens said it will decide by Monday on its involvement in the development of a controversial Australian coal mine. Joe Kaeser was speaking after meeting climate activist Luisa Neubauer.
Friday’s protests in Australia stirred debate, with Victoria state Premier Daniel Andrews saying they were wrongly timed and would divert police resources.
“Common sense tells you that there are other times to make your point,” he told a televised briefing.
“I respect people’s right to have a view, I tend to agree with a lot of the points that are being made - climate change is real - but there is a time and a place for everything and I just don’t think a protest tonight was the appropriate thing.”
Slideshow (3 Images)
Climate scientists have warned the frequency and intensity of the fires will surge as Australia becomes hotter and drier.
Australia has warmed by about 1 degree Celsius since records began in 1910, NASA climate scientist Kate Marvel said this week.
“This makes heat waves and fires more likely,” she said on Twitter. “There is no explanation for this - none - that makes sense, besides emissions of heat-trapping gases.”",['ravaged']
77,U.S. President Donald Trump said on Thursday he was likely to declare a national emergency to secure funds for his long-sought wall along the U.S. southern border if he cannot reach an agreement with Congress to provide the money.,https://uk.reuters.com/article/uk-usa-shutdown-trump-emergency/trump-says-likely-to-declare-emergency-if-no-deal-on-border-wall-idUKKCN1P41TL,reuters,immigration,center,4,1,Non-biased,Entirely factual,"U.S. President Donald Trump talks to reporters as he departs for a visit to the U.S. southern border area in Texas from the White House in Washington, U.S., January 10, 2019. REUTERS/Carlos Barria
WASHINGTON (Reuters) - U.S. President Donald Trump said on Thursday he was likely to declare a national emergency to secure funds for his long-sought wall along the U.S. southern border if he cannot reach an agreement with Congress to provide the money.
Speaking to reporters at the White House as he prepared to depart to visit the border in Texas on the 20th day of a partial government shutdown, Trump repeated his contention that he had the right to declare a national emergency over immigration.",['long-sought']
